pair_id	premise	hypothesis	annotation_1	comment_1	annotator1_id	annotation_2	comment_2	annotator2_id	annotation_3	comment_3	annotator3_id	annotation_FINAL	label
P0	Vendar se je anglikanska večina v grofijah na severu otoka (Ulster) na plebiscitu odločila, da ostane v okviru Velike Britanije.	A na glasovanju o priključitvi ozemlja k Severni Irski so se prebivalci ulsterskih grofij, pretežno anglikanske veroizpovedi, izrekli o obstanku pod okriljem VB.	E		annotator_C	E		annotator_A				E	entailment
P1	INŠTRUKTOR IZ PRTLJAŽNIKA V DRUGO POTOVALKO PRELOŽI PRECEJ VELIK ZAVOJ TRDE ČRNE PLASTIKE IN PA MODER DELOVNI PAJAC, KI GA PONAVADI UPORABLJAJO ZIDARJI.	Učitelj je vzel iz prtljažnika iz prve potovalne torbe moder pajac, ki ga uporabljajo zidarji in ga prestavil v drugo potovalko, zavoj trde črne plastike pa je pustil v prvi torbi.	C		annotator_B	N		annotator_A					contradiction
P2	biotska raznovrstnost – v splošnem je to raznolikost in pestrost med rastlinami, živalmi in mikroorganizmi, in med njihovimi ekosistemi.	Četudi je biodiverziteta pomemben del biološkega sveta, to ne pomeni, da izraz označuje raznolikost vseh bioloških vrst, ki na svetu obstajajo.	C		annotator_G	N	Morda neustrezen primer? (zdi se kot alineja)	annotator_A					contradiction
P3	Preroški pomen: Če v sanjah bedite, je to na splošno napoved obrekovanja.	V preroškem smislu budnost v sanjah nakazuje opravljanje.	E	Pomanjkanje konteksta?	annotator_C	E		annotator_A				E	entailment
P4	Jeseni so dnevi krajši, stemni se že dokaj zgodaj.	V krajših jesenskih dneh tema nastopi relativno zgodaj.	E		annotator_C	E		annotator_A				E	entailment
P5	Stekel je iz banke za vogal, skočil v svoj avto in oddrvel.	Iz banke je stekel za vogal, smuknil v avto in se z vso hitrostjo odpeljal.	E		annotator_B	E		annotator_A				E	entailment
P6	Dopoldne se je na Obrežje s tovornim vozilom avtovleko pripeljal 43-letni državljan Bolgarije, ki je potoval proti Hrvaški.	Zgodaj dopoldne se je na mejni prehod Obrežje v tovornjaku pripeljal bolgarski državljan, namenjen v sosednjo Hrvaško.	N		annotator_C	E		annotator_A					neutral
P7	Med vsemi pravilnimi odgovori smo izžrebali pet bralk, ki bodo prejele zavitek BlueBerry s 60 tabletami.	Med kar 106 pravilnimi odgovori bo s paketkom 60 BlueBerry tablet domov odšlo 5 bralk.	N		annotator_D	N		annotator_A				N	neutral
P8	Medtem ko odrasla pižmovka tehta do dva kilograma, tehta odrasla samica nutrije tudi deset kilogramov.	Pižmovka po odraščanju doseže do dva kilograma, medtem ko bobrovka, ko odraste, tehta vse do deset kilogramov.	E		annotator_G	E		annotator_A				E	entailment
P9	Bara srednjo dečelco: »Kaku pa ti pojaš?«	Srednji izmed treh punčk je bilo postavljeno vprašanje, ali zna dobro peti.	N		annotator_C	E		annotator_A					neutral
